Name,Precision,Recall,F1,Accuracy
Naive Bayes + TFIDF,0.5164835164835165,0.6351351351351351,0.5696969696969698,0.5266666666666666
Naive Bayes + w2v,0.6962025316455697,0.7432432432432432,0.7189542483660132,0.7133333333333334
Logistic Regression + TFIDF,0.7380952380952381,0.8378378378378378,0.7848101265822786,0.7733333333333333
Logistic Regression + w2v,0.725,0.7837837837837838,0.7532467532467533,0.7466666666666667
SVM + TFIDF,0.7777777777777778,0.8513513513513513,0.8129032258064517,0.8066666666666666
SVM + w2v,0.7375,0.7972972972972973,0.7662337662337663,0.76
Multilayer Perceptron + TFIDF,0.7619047619047619,0.8648648648648649,0.810126582278481,0.8
Multilayer Perceptron + w2v,0.7692307692307693,0.8108108108108109,0.7894736842105263,0.7866666666666666
